Head萍	ping
c：	：
c＂	＂
Head看	kan
Head着	zhao
Head她	ta
Head我	wo
Head羡	xian
慕	mu
Head死	si
Head了	le
c，	，
Head就	jiu
Head像	xiang
Head看	kan
到	dao
Head结	jie
婚	hun
Head前	qian
Head的	de
Head我	wo
c。	。
Head自	zi
信	xin
Head骄	jiao
傲	ao
c，	，
Head无	wu
忧	you
无	wu
虑	luu
c，	，
Head自	zi
由	you
自	zi
在	zai
Head拥	yong
有	you
Head世	shi
界	jie
Head上	shang
Head最	zui
Head可	ke
贵	gui
Head的	de
Head财	cai
富	fu
c，	，
Head漂	piao
亮	liang
Head和	he
Head青	qing
春	chun
c。	。
c＂	＂
Head柯	ke
比	bi
Head不	bu
置	zhi
可	ke
否	fou
Head地	di
Head哼	heng
哼	heng
Head两	liang
Head声	sheng
c。	。
Head慧	hui
Head继	ji
续	xu
Head说	shuo
c：	：
c＂	＂
Head当	dang
然	ran
Head啦	la
c，	，
Head我	wo
Head结	jie
婚	hun
Head前	qian
Head也	ye
Head没	mei
有	you
Head现	xian
在	zai
Head的	de
Head安	an
伦	lun
Head漂	piao
亮	liang
c。	。
Head安	an
伦	lun
Head天	tian
生	sheng
Head是	shi
Head个	ge
Head搞	gao
Head舞	wu
蹈	dao
Head的	de
Head料	liao
子	zi
c，	，
Head可	ke
惜	xi
Head了	le
Head这	zhe
Head绝	jue
妙	miao
Head的	de
Head身	shen
材	cai
c。	。
Head哎	ai
c，	，
Head柯	ke
比	bi
c，	，
Head跟	gen
Head你	ni
Head说	shuo
话	hua
Head呢	ne
c，	，
Head别	bie
Head走	zou
神	shen
Head儿	er
c。	。
Head你	ni
Head刚	gang
才	cai
Head抱	bao
Head住	zhu
Head她	ta
Head时	shi
Head是	shi
Head种	zhong
Head什	shen
么	me
样	yang
Head的	de
Head感	gan
觉	jue
c？	？
Head能	neng
Head告	gao
诉	su
Head我	wo
Head吗	ma
c？	？
c＂	＂
Head柯	ke
比	bi
Head嘲	chao
弄	nong
Head地	di
Head问	wen
c：	：
c＂	＂
Head你	ni
Head想	xiang
Head听	ting
c？	？
c＂	＂
Head慧	hui
Head真	zhen
诚	cheng
Head地	di
Head说	shuo
c：	：
c＂	＂
Head想	xiang
Head听	ting
c。	。
c＂	＂
Head柯	ke
比	bi
Head淡	dan
淡	dan
Head地	di
Head说	shuo
c：	：
c＂	＂
Head温	wen
柔	rou
Head似	si
Head水	shui
c。	。
c＂	＂
Head慧	hui
Head问	wen
c：	：
c＂	＂
Head完	wan
Head啦	la
c？	？
c＂	＂
Head柯	ke
比	bi
Head肯	ken
定	ding
Head地	di
c：	：
c＂	＂
Head完	wan
Head啦	la
c。	。
c＂	＂
Head慧	hui
Head说	shuo
c：	：
c＂	＂
Head等	deng
于	yu
Head没	mei
Head感	gan
觉	jue
c。	。
c＂	＂
Head柯	ke
比	bi
Head说	shuo
c：	：
c＂	＂
Head要	yao
Head是	shi
Head我	wo
Head说	shuo
Head她	ta
Head很	hen
Head性	xing
感	gan
Head你	ni
Head就	jiu
Head满	man
意	yi
Head了	le
c？	？
Head慧	hui
c，	，
Head别	bie
Head玩	wan
Head得	de
Head太	tai
Head过	guo
分	fen
c。	。
c＂	＂
Head这	zhe
时	shi
Head安	an
伦	lun
Head上	shang
岸	an
Head来	lai
c，	，
Head娉	ping
娉	ping
Head袅	niao
袅	niao
Head地	di
Head向	xiang
Head他	ta
们	men
Head走	zou
Head来	lai
c：	：
c＂	＂
Head嗨	hai
c，	，
Head你	ni
们	men
Head怎	zen
么	me
Head不	bu
Head玩	wan
Head了	le
c？	？
Head在	zai
Head讲	jiang
Head什	shen
么	me
c？	？
c＂	＂
Head柯	ke
比	bi
Head看	kan
Head着	zhao
Head她	ta
Head因	yin
Head在	zai
Head水	shui
Head里	li
Head泡	pao
Head久	jiu
Head了	le
Head而	er
Head越	yue
发	fa
Head美	mei
Head的	de
Head鼻	bi
子	zi
c、	、
Head嘴	zui
唇	chun
c，	，
Head很	hen
Head有	you
些	xie
Head按	an
捺	na
不	bu
住	zhu
c。	。
Head妈	ma
Head的	de
c，	，
Head这	zhe
样	yang
Head美	mei
Head的	de
Head小	xiao
组	zu
c，	，
Head居	ju
然	ran
Head还	huan
Head和	he
Head慧	hui
Head合	he
伙	huo
Head起	qi
来	lai
Head坑	keng
Head我	wo
c，	，
Head安	an
伦	lun
Head你	ni
Head是	shi
Head美	mei
人	ren
鱼	yu
Head还	hai
是	shi
Head美	mei
女	nuu
Head蛇	she
c？	？
Head但	dan
Head柯	ke
比	bi
Head还	hai
是	shi
Head忍	ren
住	zhu
Head了	le
c。	。
c＂	＂
c，	，
Head小	xiao
姐	jie
c，	，
Head我	wo
Head老	lao
两	liang
口	kou
Head正	zheng
在	zai
Head谈	tan
论	lun
Head我	wo
们	men
Head的	de
Head未	wei
来	lai
c，	，
Head就	jiu
是	shi
Head谁	shei
Head给	gei
Head谁	shei
Head送	song
葬	zang
Head的	de
Head问	wen
题	ti
c，	，
Head以	yi
及	ji
Head送	song
葬	zang
Head归	gui
来	lai
Head的	de
Head人	ren
Head是	shi
Head改	gai
嫁	jia
Head或	huo
者	zhe
Head是	shi
Head另	ling
Head娶	qu
c。	。
Head你	ni
们	men
Head玩	wan
Head吧	ba
c，	，
Head我	wo
Head要	yao
Head冲	chong
澡	zao
Head去	qu
Head了	le
c。	。
c＂	＂
Head安	an
伦	lun
Head躺	tang
Head在	zai
Head慧	hui
Head身	shen
边	bian
Head时	shi
c，	，
Head慧	hui
Head感	gan
到	dao
Head她	ta
Head四	si
Head射	she
Head的	de
Head光	guang
芒	mang
Head势	shi
不	bu
可	ke
当	dang
c。	。
Head慧	hui
Head禁	jin
不	bu
住	zhu
Head啧	ze
啧	ze
Head连	lian
声	sheng
c：	：
c＂	＂
Head安	an
伦	lun
c，	，
Head你	ni
Head是	shi
Head吃	chi
Head什	shen
么	me
Head长	zhang
大	da
Head的	de
c？	？
c＂	＂
Head安	an
伦	lun
Head戴	dai
Head上	shang
Head防	fang
Head晒	shai
Head镜	jing
c，	，
Head嘻	xi
嘻	xi
Head笑	xiao
Head着	zhao
Head说	shuo
c：	：
c＂	＂
Head闲	xian
Head时	shi
Head吃	chi
Head稀	xi
c，	，
Head忙	mang
Head时	shi
Head吃	chi
Head干	gan
c，	，
Head不	bu
Head忙	mang
Head不	bu
Head闲	xian
c，	，
Head半	ban
Head干	gan
Head半	ban
Head稀	xi
c。	。
c＂	＂
c＂	＂
Head这	zhe
Head口	kou
气	qi
Head听	ting
Head起	qi
来	lai
Head像	xiang
Head是	shi
Head柯	ke
比	bi
Head这	zhe
Head神	shen
经	jing
病	bing
Head的	de
c。	。
c＂	＂
c＂	＂
Head是	shi
Head呵	he
Head是	shi
Head呵	he
c，	，
Head跟	gen
Head柯	ke
比	bi
Head在	zai
Head一	yi
起	qi
c，	，
Head总	zong
是	shi
Head觉	jue
得	de
Head快	kuai
乐	le
c。	。
c＂	＂
c＂	＂
Head我	wo
Head看	kan
Head柯	ke
比	bi
Head快	kuai
Head把	ba
Head你	ni
Head同	tong
化	hua
Head过	guo
去	qu
Head了	le
c。	。
c＂	＂
c＂	＂
Head别	bie
Head担	dan
心	xin
c，	，
Head我	wo
们	men
Head是	shi
Head在	zai
Head游	you
戏	xi
c。	。
c＂	＂
c＂	＂
Head刚	gang
才	cai
Head他	ta
Head抱	bao
Head住	zhu
Head你	ni
c，	，
Head你	ni
Head感	gan
觉	jue
Head如	ru
何	he
c？	？
c＂	＂
c＂	＂
Head温	wen
柔	rou
c。	。
c＂	＂
Head安	an
伦	lun
Head显	xian
得	de
Head有	you
些	xie
Head不	bu
Head自	zi
然	ran
c。	。
c＂	＂
Head哎	ai
呀	ya
c，	，
Head这	zhe
Head同	tong
Head柯	ke
比	bi
Head的	de
Head感	gan
觉	jue
Head一	yi
样	yang
c，	，
Head你	ni
们	men
Head相	xiang
爱	ai
Head了	le
c。	。
c＂	＂
c＂	＂
Head不	bu
c...	...
c...	...
Head慧	hui
c，	，
Head你	ni
Head别	bie
Head当	dang
真	zhen
c，	，
Head我	wo
Head真	zhen
的	de
Head有	you
Head一	yi
Head种	zhong
Head温	wen
柔	rou
Head感	gan
c，	，
Head柯	ke
比	bi
Head是	shi
Head一	yi
个	ge
Head会	hui
Head体	ti
贴	tie
Head女	nuu
人	ren
Head的	de
Head好	hao
Head男	nan
人	ren
c。	。
c＂	＂
c＂	＂
Head你	ni
Head有	you
些	xie
Head喜	xi
欢	huan
Head上	shang
Head他	ta
Head了	le
c，	，
Head安	an
伦	lun
c？	？
c＂	＂
c＂	＂
Head慧	hui
c，	，
Head咱	zan
们	men
Head早	zao
就	jiu
Head说	shuo
Head好	hao
Head了	le
Head的	de
c，	，
Head我	wo
Head是	shi
Head来	lai
Head帮	bang
Head你	ni
Head的	de
c，	，
Head帮	bang
Head你	ni
Head了	liao
解	jie
Head柯	ke
比	bi
c，	，
Head试	shi
探	tan
Head柯	ke
比	bi
c。	。
Head慧	hui
c，	，
Head要	yao
Head是	shi
Head你	ni
Head有	you
Head某	mou
种	zhong
Head担	dan
忧	you
c，	，
Head这	zhe
Head游	you
戏	xi
Head就	jiu
Head别	bie
Head再	zai
Head玩	wan
Head下	xia
去	qu
Head了	le
c，	，
Head很	hen
Head危	wei
险	xian
Head的	de
c。	。
c＂	＂
c＂	＂
Head喂	wei
c，	，
Head你	ni
们	men
Head两	liang
Head位	wei
Head恳	ken
谈	tan
Head好	hao
Head了	le
Head吗	ma
c？	？
c＂	＂
Head柯	ke
比	bi
Head天	tian
Head降	jiang
Head一	yi
般	ban
Head立	li
Head在	zai
Head她	ta
们	men
Head身	shen
后	hou
c，	，
Head谁	shei
Head也	ye
Head不	bu
知	zhi
Head他	ta
Head什	shen
么	me
Head时	shi
候	hou
Head来	lai
Head的	de
c。	。
Head两	liang
Head个	ge
Head姑	gu
娘	niang
Head都	dou
Head有	you
些	xie
Head慌	huang
乱	luan
c，	，
Head但	dan
Head看	kan
到	dao
Head柯	ke
比	bi
Head满	man
不	bu
在	zai
乎	hu
Head的	de
Head表	biao
情	qing
c，	，
Head她	ta
们	men
Head料	liao
定	ding
Head柯	ke
比	bi
Head没	mei
有	you
Head听	ting
到	dao
Head刚	gang
才	cai
Head的	de
Head谈	tan
话	hua
Head内	nei
容	rong
c，	，
Head复	fu
Head又	you
Head镇	zhen
定	ding
Head下	xia
来	lai
c。	。
Head这	zhe
时	shi
Head柯	ke
比	bi
Head将	jiang
Head手	shou
Head伸	shen
Head给	gei
Head安	an
伦	lun
c，	，
Head示	shi
意	yi
Head拉	la
Head她	ta
Head起	qi
来	lai
c。	。
Head安	an
伦	lun
Head将	jiang
Head头	tou
Head往	wang
Head右	you
Head一	yi
Head偏	pian
c：	：
c＂	＂
Head先	xian
Head拉	la
Head慧	hui
c。	。
c＂	＂
Head但	dan
Head柯	ke
比	bi
Head不	bu
理	li
c，	，
Head仍	reng
Head固	gu
执	zhi
Head地	di
Head将	jiang
Head手	shou
Head拉	la
住	zhu
Head安	an
伦	lun
Head的	de
Head手	shou
c，	，
Head一	yi
Head把	ba
Head将	jiang
Head她	ta
Head拉	la
Head了	le
Head起	qi
来	lai
c，	，
Head另	ling
Head一	yi
Head只	zhi
Head手	shou
Head还	hai
有	you
Head一	yi
个	ge
Head半	ban
Head遮	zhe
Head半	ban
Head掩	yan
Head的	de
Head拥	yong
抱	bao
Head的	de
Head动	dong
作	zuo
c。	。
Head慧	hui
Head躺	tang
Head在	zai
Head沙	sha
滩	tan
Head上	shang
c，	，
Head不	bu
无	wu
Head心	xin
酸	suan
Head地	di
Head说	shuo
c：	：
c＂	＂
Head柯	ke
比	bi
c，	，
Head什	shen
么	me
Head时	shi
候	hou
Head学	xue
会	hui
Head献	xian
殷	yin
勤	qin
Head了	le
c？	？
c＂	＂
Head柯	ke
比	bi
Head不	bu
理	li
Head慧	hui
Head的	de
话	hua
c，	，
Head仍	reng
Head亲	qin
昵	ni
Head地	di
Head对	dui
Head安	an
伦	lun
Head讲	jiang
c：	：
c＂	＂
Head要	yao
Head是	shi
Head能	neng
Head给	gei
Head你	ni
Head涂	tu
Head些	xie
Head防	fang
Head晒	shai
Head油	you
Head就	jiu
Head好	hao
Head了	le
c，	，
Head这	zhe
么	me
Head美	mei
妙	miao
Head的	de
Head肌	ji
肤	fu
Head可	ke
Head经	jing
不	bu
住	zhu
Head今	jin
天	tian
Head的	de
Head太	tai
阳	yang
c。	。
Head晒	shai
Head脱	tuo
皮	pi
Head就	jiu
Head不	bu
Head好	hao
看	kan
Head了	le
c。	。
c＂	＂
Head安	an
伦	lun
Head说	shuo
c：	：
c＂	＂
Head快	kuai
Head去	qu
Head拉	la
拉	la
Head慧	hui
c。	。
c＂	＂
Head慧	hui
Head说	shuo
c，	，
c＂	＂
Head柯	ke
比	bi
Head要	yao
Head当	dang
Head骑	qi
士	shi
Head呢	ne
c，	，
Head不	bu
要	yao
Head老	lao
婆	po
Head了	le
c。	。
c＂	＂
Head柯	ke
比	bi
Head仍	reng
Head对	dui
着	zhao
Head安	an
伦	lun
Head讲	jiang
c：	：
c＂	＂
Head快	kuai
Head去	qu
Head澡	zao
堂	tang
Head冲	chong
Head一	yi
Head冲	chong
Head吧	ba
c，	，
Head现	xian
在	zai
Head人	ren
Head不	bu
Head多	duo
c，	，
Head当	dang
心	xin
c，	，
Head门	men
口	kou
Head那	na
儿	er
Head有	you
Head一	yi
Head摊	tan
Head水	shui
c。	。
c＂	＂
Head慧	hui
Head说	shuo
c：	：
c＂	＂
Head柯	ke
比	bi
c，	，
Head去	qu
Head把	ba
Head我	wo
Head的	de
Head袜	wa
子	zi
Head洗	xi
Head一	yi
下	xia
c，	，
Head刚	gang
才	cai
Head弄	nong
Head脏	zang
Head了	le
c。	。
c＂	＂
Head安	an
伦	lun
Head说	shuo
c：	：
c＂	＂
Head柯	ke
比	bi
c，	，
Head慧	hui
Head跟	gen
Head你	ni
Head讲	jiang
话	hua
Head呢	ne
c？	？
c＂	＂
Head柯	ke
比	bi
Head回	hui
过	guo
Head头	tou
c，	，
Head木	mu
然	ran
Head望	wang
Head着	zhao
Head慧	hui
c，	，
c＂	＂
Head你	ni
Head说	shuo
Head什	shen
么	me
c？	？
Head你	ni
Head还	huan
Head没	mei
有	you
Head玩	wan
Head够	gou
Head吗	ma
c？	？
Head快	kuai
Head起	qi
来	lai
c。	。
c＂	＂
Head慧	hui
Head说	shuo
Head得	de
Head凄	qi
凄	qi
艾	ai
艾	ai
c：	：
c＂	＂
Head我	wo
Head早	zao
Head不	bu
Head想	xiang
Head玩	wan
Head了	le
c。	。
c＂	＂
Head安	an
伦	lun
Head说	shuo
c：	：
c＂	＂
Head我	wo
Head也	ye
Head不	bu
Head想	xiang
Head玩	wan
Head了	le
c。	。
c＂	＂
Head柯	ke
比	bi
Head突	tu
然	ran
Head变	bian
Head得	de
Head有	you
些	xie
Head神	shen
经	jing
质	zhi
c：	：
c＂	＂
Head可	ke
是	shi
Head我	wo
Head还	huan
Head想	xiang
Head陪	pei
Head你	ni
们	men
Head玩	wan
Head下	xia
去	qu
c。	。
Head那	na
边	bian
Head还	hai
有	you
Head一	yi
个	ge
Head游	you
乐	le
场	chang
c，	，
Head我	wo
们	men
Head坐	zuo
Head碰	peng
碰	peng
船	chuan
Head去	qu
c，	，
Head我	wo
Head来	lai
Head带	dai
Head安	an
伦	lun
c，	，
Head同	tong
Head慧	hui
Head碰	peng
c。	。
Head安	an
伦	lun
Head你	ni
Head同	tong
意	yi
Head吗	ma
c？	？
c＂	＂
Head慧	hui
Head说	shuo
c：	：
c＂	＂
Head我	wo
Head想	xiang
Head回	hui
家	jia
Head了	le
c。	。
c＂	＂
Head安	an
伦	lun
Head却	que
Head说	shuo
c：	：
c＂	＂
Head再	zai
Head玩	wan
Head一	yi
Head回	hui
Head碰	peng
碰	peng
船	chuan
Head吧	ba
c，	，
Head我	wo
Head想	xiang
Head再	zai
Head玩	wan
Head最	zui
后	hou
Head一	yi
Head次	ci
c。	。
c＂	＂
Head慧	hui
Head开	kai
始	shi
Head明	ming
白	bai
Head自	zi
己	ji
Head在	zai
Head喝	he
Head一	yi
Head杯	bei
Head自	zi
Head兑	dui
Head的	de
Head苦	ku
酒	jiu
c。	。
Head她	ta
Head设	she
计	ji
Head的	de
Head周	zhou
密	mi
Head计	ji
划	hua
c，	，
Head这	zhe
个	ge
Head计	ji
划	hua
Head却	que
Head反	fan
过	guo
来	lai
Head套	tao
Head住	zhu
Head了	le
Head她	ta
Head自	zi
己	ji
c。	。
Head原	yuan
来	lai
Head她	ta
Head把	ba
握	wo
Head不	bu
Head了	le
Head柯	ke
比	bi
Head的	de
Head感	gan
情	qing
Head尺	chi
度	du
c，	，
Head想	xiang
Head请	qing
安	an
Head论	lun
Head来	lai
Head帮	bang
忙	mang
Head测	ce
试	shi
Head一	yi
下	xia
c，	，
Head不	bu
Head想	xiang
Head越	yue
Head测	ce
Head越	yue
Head糟	zao
c。	。
Head她	ta
Head不	bu
无	wu
Head担	dan
心	xin
Head地	di
Head发	fa
现	xian
Head了	le
Head安	an
伦	lun
Head和	he
Head柯	ke
比	bi
Head的	de
Head暧	ai
昧	mei
c。	。
Head但	dan
Head这	zhe
Head就	jiu
是	shi
Head堕	duo
落	luo
Head吗	ma
c？	？
Head她	ta
Head突	tu
然	ran
Head停	ting
下	xia
Head了	le
Head脚	jiao
步	bu
c，	，
Head因	yin
为	wei
Head她	ta
Head看	kan
到	dao
Head雷	lei
Head桑	sang
浩	hao
Head正	zheng
Head向	xiang
Head她	ta
Head走	zou
Head来	lai
c，	，
Head他	ta
Head会	hui
Head打	da
Head她	ta
Head吗	ma
c？	？
Head她	ta
Head下	xia
意	yi
识	shi
Head地	di
Head缩	suo
Head住	zhu
Head身	shen
子	zi
c，	，
Head可	ke
是	shi
Head他	ta
Head却	que
Head拥	yong
Head住	zhu
Head她	ta
Head的	de
Head肩	jian
c，	，
Head抱	bao
歉	qian
Head地	di
Head说	shuo
c：	：
c＂	＂
Head对	dui
不	bu
起	qi
c，	，
Head我	wo
Head太	tai
Head粗	cu
暴	bao
Head了	le
c，	，
Head我	wo
Head不	bu
Head应	ying
该	gai
c＂	＂
Head天	tian
Head暗	an
Head下	xia
去	qu
Head了	le
c，	，
Head月	yue
亮	liang
Head也	ye
Head出	chu
来	lai
Head了	le
c，	，
Head霞	xia
映	ying
Head的	de
Head红	hong
Head药	yao
丸	wan
Head全	quan
Head在	zai
Head水	shui
中	zhong
Head溶	rong
解	jie
Head了	le
c，	，
Head但	dan
是	shi
Head她	ta
Head终	zhong
于	yu
Head学	xue
会	hui
Head了	le
Head游	you
泳	yong
c，	，
Head而	er
且	qie
Head游	you
Head得	de
Head跟	gen
Head她	ta
Head当	dang
初	chu
Head想	xiang
象	xiang
Head的	de
Head一	yi
样	yang
Head好	hao
c，	，
Head这	zhe
Head是	shi
Head她	ta
Head这	zhe
Head段	duan
Head日	ri
子	zi
Head来	lai
头	tou
Head一	yi
Head次	ci
Head不	bu
必	bi
Head吃	chi
药	yao
Head就	jiu
Head能	neng
Head把	ba
Head事	shi
情	qing
Head办	ban
Head好	hao
c，	，
Head使	shi
得	de
Head她	ta
Head重	zhong
Head拾	shi
Head回	hui
Head一	yi
些	xie
Head信	xin
心	xin
c。	。
Head她	ta
Head不	bu
Head知	zhi
道	dao
Head自	zi
己	ji
Head是	shi
不	bu
是	shi
Head真	zhen
Head上	shang
瘾	yin
Head了	le
c，	，
Head还	hai
是	shi
Head仅	jin
Head是	shi
Head心	xin
理	li
Head上	shang
Head的	de
Head依	yi
赖	lai
c：	：
Head她	ta
Head把	ba
头	tou
Head埋	mai
Head进	jin
Head清	qing
澈	che
Head的	de
Head水	shui
Head里	li
c，	，
Head不	bu
禁	jin
Head暗	an
中	zhong
Head祈	qi
祷	dao
c，	，
Head但	dan
愿	yuan
Head她	ta
Head能	neng
Head如	ru
Head雷	lei
Head桑	sang
浩	hao
Head所	suo
Head说	shuo
Head的	de
c，	，
Head不	bu
再	zai
Head需	xu
要	yao
Head红	hong
Head药	yao
丸	wan
c，	，
Head永	yong
远	yuan
Head雷	lei
Head桑	sang
浩	hao
Head叫	jiao
Head她	ta
Head上	shang
来	lai
Head休	xiu
息	xi
Head时	shi
c，	，
Head自	zi
己	ji
Head走	zou
Head上	shang
Head了	le
Head跳	tiao
板	ban
c，	，
Head在	zai
Head上	shang
面	mian
Head来	lai
回	hui
Head试	shi
Head了	le
Head几	ji
Head次	ci
Head后	hou
c，	，
Head摆	bai
Head出	chu
Head了	le
Head个	ge
Head预	yu
备	bei
Head姿	zi
势	shi
c，	，
Head她	ta
Head屏	ping
息	xi
Head敛	lian
Head气	qi
c，	，
Head月	yue
光	guang
Head下	xia
c，	，
Head他	ta
Head身	shen
上	shang
Head有	you
Head种	zhong
Head有	you
别	bie
于	yu
Head白	bai
天	tian
Head的	de
Head光	guang
芒	mang
c，	，
Head内	nei
Head敛	lian
Head而	er
Head不	bu
Head沉	chen
静	jing
c，	，
Head这	zhe
Head就	jiu
是	shi
Head新	xin
闻	wen
记	ji
者	zhe
Head笔	bi
下	xia
Head描	miao
述	shu
Head的	de
Head那	na
个	ge
Head花	hua
花	hua
Head太	tai
Head少	shao
c？	？
Head不	bu
c！	！
Head不	bu
Head是	shi
Head的	de
c！	！
Head她	ta
Head不	bu
禁	jin
Head从	cong
Head心	xin
底	di
Head替	ti
Head他	ta
Head辩	bian
解	jie
c。	。
Head在	zai
Head这	zhe
Head一	yi
Head天	tian
Head里	li
c，	，
Head她	ta
Head对	dui
Head他	ta
Head的	de
Head隐	yin
藏	cang
Head在	zai
Head华	hua
丽	li
Head外	wai
表	biao
Head下	xia
Head的	de
Head严	yan
肃	su
Head与	yu
Head认	ren
真	zhen
Head有	you
Head了	le
Head另	ling
Head一	yi
番	fan
Head的	de
Head认	ren
识	shi
c。	。
c＂	＂
Head游	you
Head啦	la
c！	！
c＂	＂
Head一	yi
Head声	sheng
c．	．
Head他	ta
Head跳	tiao
Head进	jin
Head了	le
Head水	shui
中	zhong
c，	，
Head矫	jiao
捷	jie
Head地	di
Head游	you
Head着	zhao
c，	，
Head粼	lin
粼	lin
Head的	de
Head光	guang
Head痕	hen
Head中	zhong
c，	，
Head他	ta
Head游	you
Head碎	sui
Head了	le
Head月	yue
色	se
c。	。
Head揉	rou
Head皱	zhou
Head了	le
Head水	shui
波	bo
c，	，
Head似	si
乎	hu
Head要	yao
Head这	zhe
么	me
Head游	you
Head着	zhao
c，	，
Head游	you
Head到	dao
Head他	ta
Head那	na
Head谁	shei
Head也	ye
Head不	bu
Head知	zhi
道	dao
Head的	de
Head王	wang
国	guo
c。	。
Head霞	xia
映	ying
Head被	bei
Head他	ta
Head强	qiang
烈	lie
Head地	di
Head吸	xi
引	yin
Head了	le
c，	，
Head她	ta
Head也	ye
Head跳	tiao
Head下	xia
Head了	le
Head水	shui
c，	，
Head潜	qian
Head到	dao
Head他	ta
Head的	de
Head旁	pang
边	bian
Head和	he
Head他	ta
Head并	bing
肩	jian
Head向	xiang
前	qian
Head游	you
c，	，
Head她	ta
Head真	zhen
Head希	xi
望	wang
Head就	jiu
Head像	xiang
Head比	bi
目	mu
鱼	yu
Head般	ban
c，	，
Head永	yong
远	yuan
Head地	di
Head和	he
Head他	ta
Head一	yi
同	tong
Head游	you
Head到	dao
Head天	tian
涯	ya
海	hai
角	jiao
c。	。
Head他	ta
Head的	de
Head手	shou
Head触	chu
Head碰	peng
到	dao
Head她	ta
Head时	shi
c，	，
Head她	ta
Head的	de
Head心	xin
Head狂	kuang
Head跳	tiao
Head了	le
Head起	qi
来	lai
c。	。
Head她	ta
Head红	hong
Head起	qi
Head脸	lian
c，	，
Head映	ying
Head着	zhao
Head月	yue
光	guang
Head的	de
Head脸	lian
Head又	you
Head纯	chun
真	zhen
Head又	you
Head快	kuai
乐	le
c。	。
Head霞	xia
映	ying
Head没	mei
Head想	xiang
到	dao
Head他	ta
Head会	hui
Head吻	wen
Head她	ta
c，	，
Head但	dan
Head这	zhe
Head月	yue
光	guang
Head实	shi
在	zai
Head太	tai
Head迷	mi
人	ren
Head了	le
c，	，
Head那	na
Head罗	luo
曼	man
蒂	di
克	ke
Head的	de
Head波	bo
光	guang
Head月	yue
Head影	ying
Head把	ba
Head人	ren
心	xin
Head整	zheng
个	ge
Head都	dou
Head蛊	gu
惑	huo
Head了	le
c，	，
Head他	ta
Head的	de
Head手	shou
Head轻	qing
轻	qing
Head抚	fu
摩	mo
Head着	zhao
Head她	ta
Head的	de
Head脸	lian
庞	pang
c，	，
Head叹	tan
息	xi
Head了	le
Head一	yi
Head声	sheng
c，	，
Head然	ran
后	hou
Head绕	rao
Head在	zai
Head她	ta
Head腰	yao
Head上	shang
c，	，
Head她	ta
Head全	quan
身	shen
Head为	wei
Head之	zhi
Head颤	zhan
栗	li
c。	。
Head她	ta
Head真	zhen
Head希	xi
望	wang
Head这	zhe
Head就	jiu
是	shi
Head她	ta
Head的	de
Head第	di
一	yi
Head次	ci
c。	。
Head而	er
Head月	yue
光	guang
Head给	gei
Head她	ta
Head的	de
c，	，
Head也	ye
Head正	zheng
是	shi
Head这	zhe
种	zhong
Head感	gan
觉	jue
c。	。
Head他	ta
Head的	de
Head动	dong
作	zuo
Head很	hen
Head慢	man
c、	、
Head很	hen
Head温	wen
柔	rou
c，	，
Head但	dan
Head却	que
Head撩	liao
Head起	qi
Head了	le
Head她	ta
Head全	quan
部	bu
Head的	de
Head激	ji
情	qing
c，	，
Head她	ta
Head不	bu
禁	jin
Head快	kuai
乐	le
Head地	di
Head叫	jiao
Head出	chu
来	lai
c，	，
Head然	ran
后	hou
Head她	ta
Head哭	ku
Head了	le
c。	。
c＂	＂
Head不	bu
要	yao
Head哭	ku
c！	！
c＂	＂
Head他	ta
Head的	de
Head手	shou
指	zhi
Head柔	rou
和	he
Head地	di
Head摩	mo
挲	suo
Head着	zhao
Head她	ta
Head的	de
Head脸	lian
c，	，
Head像	xiang
Head一	yi
根	gen
根	gen
Head温	wen
暖	nuan
Head的	de
Head琴	qin
弦	xian
Head抚	fu
慰	wei
Head她	ta
Head的	de
Head心	xin
c，	，
Head然	ran
后	hou
Head他	ta
Head温	wen
存	cun
Head地	di
Head抱	bao
Head起	qi
Head了	le
Head她	ta
c，	，
Head她	ta
Head睁	zheng
Head开	kai
Head迷	mi
离	li
Head的	de
Head泪	lei
眼	yan
c，	，
Head朦	meng
胧	long
Head中	zhong
c，	，
Head听	ting
见	jian
Head了	le
Head她	ta
Head一	yi
直	zhi
Head想	xiang
Head听	ting
Head的	de
Head那	na
Head三	san
Head个	ge
Head字	zi
c。	。
Head我	wo
Head爱	ai
Head你	ni
c！	！
Head她	ta
Head的	de
Head内	nei
心	xin
Head也	ye
Head跟	gen
着	zhao
Head颤	chan
动	dong
Head不	bu
已	yi
c。	。
Head晶	jing
莹	ying
Head的	de
Head泪	lei
Head还	huan
Head凝	ning
Head在	zai
Head颊	jia
Head边	bian
Head时	shi
c，	，
Head霞	xia
映	ying
Head却	que
Head已	yi
经	jing
Head累	lei
Head得	de
Head睡	shui
着	zhao
Head了	le
c，	，
Head在	zai
Head梦	meng
Head中	zhong
c，	，
Head她	ta
Head还	huan
Head微	wei
微	wei
Head抽	chou
泣	qi
c，	，
Head可	ke
是	shi
Head当	dang
Head她	ta
Head完	wan
全	quan
Head睡	shui
着	zhao
Head时	shi
c，	，
Head她	ta
Head的	de
Head身	shen
体	ti
Head整	zheng
个	ge
Head放	fang
松	song
Head了	le
c，	，
Head颊	jia
Head上	shang
Head还	huan
Head现	xian
出	chu
Head了	le
Head笑	xiao
容	rong
c，	，
Head在	zai
Head那	na
Head小	xiao
小	xiao
的	de
